S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KALPANA MURMU SOREN,Jharkhand Mukti Morcha,109085,742,109827,50.54
2,DILIP KUMAR VERMA,Bharatiya Janata Party,82284,394,82678,38.05
3,INTEKHAB ANSARI,All India Majlis-E-Ittehadul Muslimeen,4758,6,4764,2.19
4,TAHIR ANSARI,Rashtriya Samanta Dal,1029,1,1030,0.47
5,ARJUN BAITHA,Independent,6933,27,6960,3.2
6,AWADHESH KUMAR SINGH,Independent,1134,4,1138,0.52
7,MD. KAUSAR AZAD,Independent,2052,2,2054,0.95
8,GULAB PD VERMA,Independent,793,1,794,0.37
9,MD. SHABBIR ANSARI,Independent,756,0,756,0.35
10,SHAHADAT ANSARI,Independent,1079,1,1080,0.5
11,MD. SAYEED ALAM,Independent,1976,12,1988,0.91
12,NOTA,None of the Above,4214,5,4219,1.94
