S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARVIND KUMAR SINGH,Bharatiya Janata Party,105837,135,105972,48
2,AVADHESH KUMAR VERMA,Samajwadi Party,88807,370,89177,40.39
3,SARVESH CHANDRA MISHRA,Bahujan Samaj Party,20687,55,20742,9.4
4,RAMPAL,Rashtriya mahan Gantantra Party,796,0,796,0.36
5,SWAM PRAKASH KAUSHAL,Netaji Subhash Chander Bose Rashtriya Azad Party,664,0,664,0.3
6,AJIT SHUKLA,Independent,379,0,379,0.17
7,ARADHANA MISHRA,Independent,288,0,288,0.13
8,SMT. KANCHAN,Independent,573,4,577,0.26
9,DAVESH KUMAR,Independent,336,1,337,0.15
10,RASHID KHAN,Independent,512,0,512,0.23
11,NOTA,None of the Above,1319,3,1322,0.6
