S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRABHUNATH PRASAD,Janata Dal  (United),43334,291,43625,31.66
2,SHIV PRAKASH RANJAN,Communist Party of India  (Marxist-Leninist)  (Liberation),73191,269,73460,53.31
3,UPENDRA KUMAR S/O - CHANDESHWAR RAM,Independent,6414,4,6418,4.66
4,UPENDRA KUMAR S/O- VAIJNATH RAM,Independent,1380,3,1383,1
5,PRADEEP KUMAR,Independent,1296,8,1304,0.95
6,BHIKHARI RAM,Independent,1044,4,1048,0.76
7,VIJAY MEHRA,Independent,1493,2,1495,1.08
8,SARASWATI DEVI,Independent,1810,11,1821,1.32
9,SONU KUMAR,Independent,3315,7,3322,2.41
10,NOTA,None of the Above,3909,22,3931,2.85
